pickup_longitude pickup_latitude dropoff_longitude dropoff_latitude passenger_count
-73.9545 40.76681 -73.98779 40.72088 1
-73.9453 40.77435 -73.95544 40.7786 1
-73.95554 40.77969 -73.95355 40.78797 1
-74.00646 40.74387 -74.0155 40.71134 1
-73.99891 40.76107 -73.96038 40.80388 1
-73.98551 40.76024 -74.01147 40.71468 1
-74.00738 40.7079 -73.96336 40.77511 1
-73.96489 40.79141 -73.97263 40.79002 1
-73.9502 40.7717 -73.97414 40.78747 1
-73.98781 40.755 -73.99435 40.74287 2
-73.95966 40.78259 -73.94542 40.77249 1
-73.97756 40.72997 -74.00449 40.7406 2
-73.9995 40.74391 -73.98956 40.74063 1
-73.98354 40.76047 -73.9889 40.75268 1
-73.99608 40.73268 -73.97548 40.756 1
-73.98864 40.72216 -73.99126 40.7309 1
-74.00406 40.73302 -74.00538 40.71668 1
-73.97875 40.72977 -73.99728 40.73756 1
-73.97148 40.74641 -73.95578 40.76405 1
-73.9902 40.7569 -73.97421 40.74998 1
-73.9967 40.73732 -73.99106 40.73653 3
-73.99814 40.75648 -74.01003 40.72128 1
-73.97921 40.74051 -73.99396 40.75016 1
-73.98469 40.75915 -74.00076 40.7583 1
-73.96254 40.75902 -74.01153 40.70386 1
-73.98405 40.74327 -73.97791 40.75964 1
-73.97714 40.78995 -73.96758 40.80243 1
-74.00275 40.76051 -74.01366 40.71371 3
-74.00089 40.74202 -73.97871 40.7526 1
-73.98119 40.78124 -73.97462 40.7609 1
-73.99118 40.75562 -73.98203 40.75766 1
-73.95654 40.76695 -73.93213 40.79508 1
-73.97738 40.75321 -73.98364 40.74937 1
-73.95699 40.7832 -73.95554 40.78535 1
-73.96576 40.77444 -73.97682 40.75945 1
-73.95258 40.77257 -73.96693 40.75977 1
-73.96197 40.76793 -73.94872 40.77394 1
-74.01284 40.71692 -74.00651 40.75133 2
-73.96462 40.77306 -73.97051 40.76492 1
-73.96635 40.76464 -73.9538 40.78334 1
-73.99911 40.76132 -73.98568 40.7638 2
-73.96168 40.7771 -73.95648 40.7797 1
-73.97905 40.75541 -73.98771 40.74126 1
-73.9661 40.80527 -73.98118 40.78799 2
-74.0047 40.71619 -74.0094 40.72046 1
-73.98766 40.76536 -73.9974 40.75189 1
-73.98568 40.75759 -74.00498 40.74075 2
-74.01633 40.71738 -74.00144 40.73931 1
-73.96787 40.76266 -73.97433 40.75859 1
-73.97399 40.76262 -73.99126 40.75002 1
-73.9721 40.75617 -73.97846 40.74796 2
-74.01463 40.70462 -74.00549 40.70692 1
-73.98115 40.75529 -74.00034 40.75821 1
-73.98018 40.74342 -73.99181 40.73932 1
-73.99911 40.73573 -74.00428 40.75064 1
-73.96514 40.75528 -73.9685 40.7628 1
-74.00088 40.74186 -73.98736 40.75308 1
-73.99754 40.74156 -74.00201 40.72161 1
-73.94853 40.78923 -73.97925 40.78186 2
-73.94568 40.77814 -73.95165 40.77362 3
-74.00171 40.73082 -73.99243 40.7434 1
-73.96172 40.75976 -73.95465 40.76549 1
-73.979 40.78743 -73.97743 40.75552 2
-74.00565 40.73827 -74.01651 40.70475 1
-73.95328 40.78566 -73.95382 40.7818 2
-73.98334 40.72624 -73.98723 40.72225 1
-73.95333 40.77882 -73.96301 40.77805 1
-73.86369 40.76971 -73.94203 40.71647 1
-73.96946 40.76647 -73.97169 40.76007 3
-73.9727 40.75646 -73.97044 40.7526 2
-73.97829 40.78843 -73.99458 40.75052 1
